Close,X_t-1,X_t-2,X_t-3,X_t-4,X_t-5,RSI,Y_SELL
120.699996,120.955001,120.608398,119.556999,119.859199,119.849998,47.51719798036402,True
121.150001,120.699996,120.955001,120.608398,119.556999,119.859199,49.54600710585006,True
119.889999,121.150001,120.699996,120.955001,120.608398,119.556999,44.54589204135878,True
119.830001,119.889999,121.150001,120.699996,120.955001,120.608398,44.32500009113933,True
120.059997,119.830001,119.889999,121.150001,120.699996,120.955001,45.40129758080081,True
120.1651,120.059997,119.830001,119.889999,121.150001,120.699996,45.89695646598013,True
119.907699,120.1651,120.059997,119.830001,119.889999,121.150001,44.86259030485759,True
118.970001,119.907699,120.1651,120.059997,119.830001,119.889999,41.34264659024146,True
119.5,118.970001,119.907699,120.1651,120.059997,119.830001,43.9216557431903,True
119.120002,119.5,118.970001,119.907699,120.1651,120.059997,42.53125762250392,True
118.815002,119.120002,119.5,118.970001,119.907699,120.1651,41.43934926263522,True
118.699996,118.815002,119.120002,119.5,118.970001,119.907699,41.027472156990086,True
117.830497,118.699996,118.815002,119.120002,119.5,118.970001,38.061396024956814,True
116.3637,117.830497,118.699996,118.815002,119.120002,119.5,33.78806925225969,False
116.0,116.3637,117.830497,118.699996,118.815002,119.120002,32.83997447032449,False
116.875,116.0,116.3637,117.830497,118.699996,118.815002,37.23408771572359,False
116.720001,116.875,116.0,116.3637,117.830497,118.699996,36.79187882546335,False
117.379997,116.720001,116.875,116.0,116.3637,117.830497,39.941566056996834,False
118.529998,117.379997,116.720001,116.875,116.0,116.3637,44.90264859549904,True
118.059997,118.529998,117.379997,116.720001,116.875,116.0,43.38376490703183,True
117.61,118.059997,118.529998,117.379997,116.720001,116.875,41.97402724232979,True
117.5,117.61,118.059997,118.529998,117.379997,116.720001,41.6310966338149,True
118.199302,117.5,117.61,118.059997,118.529998,117.379997,44.61434400318417,True
117.485,118.199302,117.5,117.61,118.059997,118.529998,42.322973751215585,True
117.5,117.485,118.199302,117.5,117.61,118.059997,42.387411714587664,True
117.300697,117.5,117.485,118.199302,117.5,117.61,41.74478610447226,True
117.410003,117.300697,117.5,117.485,118.199302,117.5,42.242811635826506,True
117.849998,117.410003,117.300697,117.5,117.485,118.199302,44.23299076288736,True
116.86,117.849998,117.410003,117.300697,117.5,117.485,40.94123288677897,True
116.199996,116.86,117.849998,117.410003,117.300697,117.5,38.937867090986636,True
115.796501,116.199996,116.86,117.849998,117.410003,117.300697,37.76624120748368,True
115.349899,115.796501,116.199996,116.86,117.849998,117.410003,36.505427249182695,True
115.949996,115.349899,115.796501,116.199996,116.86,117.849998,39.32790977569525,True
115.666496,115.949996,115.349899,115.796501,116.199996,116.86,38.48967669789464,True
116.010002,115.666496,115.949996,115.349899,115.796501,116.199996,40.094064370952886,True
115.75,116.010002,115.666496,115.949996,115.349899,115.796501,39.28965676155523,True
115.059997,115.75,116.010002,115.666496,115.949996,115.349899,37.233758936763415,True
114.864997,115.059997,115.75,116.010002,115.666496,115.949996,36.67138076658604,False
114.489303,114.864997,115.059997,115.75,116.010002,115.666496,35.59714248780058,False
115.0,114.489303,114.864997,115.059997,115.75,116.010002,38.15118464475254,True
114.775901,115.0,114.489303,114.864997,115.059997,115.75,37.47489272020153,True
114.599998,114.775901,115.0,114.489303,114.864997,115.059997,36.941837425548556,True
115.050003,114.599998,114.775901,115.0,114.489303,114.864997,39.234943421082,True
115.629997,115.050003,114.599998,114.775901,115.0,114.489303,42.051543081427724,True
114.345001,115.629997,115.050003,114.599998,114.775901,115.0,38.004155081549676,False
114.485,114.345001,115.629997,115.050003,114.599998,114.775901,38.67107802559996,False
113.209999,114.485,114.345001,115.629997,115.050003,114.599998,35.104470205137346,False
114.148399,113.209999,114.485,114.345001,115.629997,115.050003,39.37234426405487,False
114.699798,114.148399,113.209999,114.485,114.345001,115.629997,41.70835775237762,False
115.059997,114.699798,114.148399,113.209999,114.485,114.345001,43.1911867917755,False
112.199996,112.378997,116.529998,116.61,116.285598,116.504997,31.44752535586447,True
112.959999,112.199996,112.378997,116.529998,116.61,116.285598,34.881881918241945,False
112.54,112.959999,112.199996,112.378997,116.529998,116.61,33.90833708866808,False
113.245002,112.54,112.959999,112.199996,112.378997,116.529998,36.97055363810587,False
112.724998,113.245002,112.54,112.959999,112.199996,112.378997,35.70514548136552,False
111.194999,112.724998,113.245002,112.54,112.959999,112.199996,32.32882737775216,False
114.36,111.194999,112.724998,113.245002,112.54,112.959999,43.74128833457695,False
114.709999,114.36,111.194999,112.724998,113.245002,112.54,44.80870361862649,True
115.04,114.709999,114.36,111.194999,112.724998,113.245002,45.81395302042536,True
115.924499,115.04,114.709999,114.36,111.194999,112.724998,48.425023669438104,True
116.75,115.924499,115.04,114.709999,114.36,111.194999,50.72322441127197,True
116.318496,116.75,115.924499,115.04,114.709999,114.36,49.5268930249935,True
114.519996,116.318496,116.75,115.924499,115.04,114.709999,44.94499074847109,True
108.970001,114.519996,116.318496,116.75,115.924499,115.04,34.67814543761733,True
109.260002,108.970001,114.519996,116.318496,116.75,115.924499,35.47682509510268,True
109.479103,109.260002,108.970001,114.519996,116.318496,116.75,36.08907447639309,False
108.86,109.479103,109.260002,108.970001,114.519996,116.318496,35.11275851044566,True
108.235,108.86,109.479103,109.260002,108.970001,114.519996,34.14567987845311,False
108.095596,108.235,108.86,109.479103,109.260002,108.970001,33.92952546432039,True
108.944999,108.095596,108.235,108.86,109.479103,109.260002,36.47070417455955,True
109.809997,108.944999,108.095596,108.235,108.86,109.479103,38.95044265509836,True
107.993598,109.809997,108.944999,108.095596,108.235,108.86,35.89900391009644,False
108.510002,107.993598,109.809997,108.944999,108.095596,108.235,37.34615083645042,False
108.04,108.510002,107.993598,109.809997,108.944999,108.095596,36.56696484129018,False
107.809997,108.04,108.510002,107.993598,109.809997,108.944999,36.18384201175155,False
108.129997,107.809997,108.04,108.510002,107.993598,109.809997,37.13417214700294,False
108.691001,108.129997,107.809997,108.04,108.510002,107.993598,38.79134172944966,False
110.684997,108.691001,108.129997,107.809997,108.04,108.510002,44.21192798078533,False
110.881599,110.684997,108.691001,108.129997,107.809997,108.04,44.712559056401865,True
111.035003,110.881599,110.684997,108.691001,108.129997,107.809997,45.11112829252707,False
110.54,111.035003,110.881599,110.684997,108.691001,108.129997,44.048518040298966,False
110.080001,110.54,111.035003,110.881599,110.684997,108.691001,43.07079351545624,False
110.855003,110.080001,110.54,111.035003,110.881599,110.684997,45.19617211770506,False
110.379997,110.855003,110.080001,110.54,111.035003,110.881599,44.14854175664974,False
118.230003,117.589996,118.309303,117.720001,114.940002,114.772399,54.175346697881515,True
118.819999,118.230003,117.589996,118.309303,117.720001,114.940002,55.66142957228576,True
119.025001,118.819999,118.230003,117.589996,118.309303,117.720001,56.173563210417704,False
118.980003,119.025001,118.819999,118.230003,117.589996,118.309303,56.02625647618159,True
117.4664,118.980003,119.025001,118.819999,118.230003,117.589996,51.330761589425606,False
118.129997,117.4664,118.980003,119.025001,118.819999,118.230003,53.11720777251888,False
118.43,118.129997,117.4664,118.980003,119.025001,118.819999,53.91035570134996,False
119.105003,118.43,118.129997,117.4664,118.980003,119.025001,55.66062418534884,False
118.889999,119.105003,118.43,118.129997,117.4664,118.980003,54.97106653149988,False
118.365997,118.889999,119.105003,118.43,118.129997,117.4664,53.30210046509414,False
118.684997,118.365997,118.889999,119.105003,118.43,118.129997,54.18034838916164,False
121.61,118.684997,118.365997,118.889999,119.105003,118.43,61.1313738016526,True
121.569999,121.61,118.684997,118.365997,118.889999,119.105003,61.0001336631395,True
120.646301,121.569999,121.61,118.684997,118.365997,118.889999,58.017401744779065,False
120.059303,120.646301,121.569999,121.61,118.684997,118.365997,56.206193062927916,False
118.93,120.059303,120.646301,121.569999,121.61,118.684997,52.91068965111639,False
118.030197,118.93,120.059303,120.646301,121.569999,121.61,50.465763933789844,False
116.319999,118.030197,118.93,120.059303,120.646301,121.569999,46.25310442664174,False
118.894996,119.150001,119.214996,118.989997,118.240303,118.200599,48.71872216406695,False
